,Company name,"Gearing (%)
2018",BvD Independence Indicator,"Number of employees
2018","Profit (Loss) before Taxation
th GBP 2018","Tangible Assets
th GBP 2018","Fixed Assets
th GBP 2018"
227,CAMIRA YARNS LIMITED,2.33,D,99,16,619,620
228,DISOTTO FOODS LIMITED,15.67,D,59,420,"1,360","1,387"
229,SUZUKI GB PLC,64.52,D,162,"4,142","11,295","26,310"
230,FOOTSURE WESTERN LIMITED,142.9,B+,16,442,16,74
231,TINNELLY CONSTRUCTION LIMITED,26.91,C,24,820,"1,711","1,711"
232,ZENITH ENERGY IRELAND LIMITED,368.96,D,34,"-1,733","43,779","71,014"
233,GLENMUIR LIMITED,0.16,D,79,"1,592",714,964
234,TELECOM2 LIMITED,1.33,D,36,226,147,148
235,WALSTON POULTRY FARM LIMITED,12.26,D,71,19,"5,714","5,714"
236,SILVERCROWN CARE HOMES LTD,76.25,D,203,201,"6,704","6,704"
237,JUST TRAYS LIMITED,63.81,D,86,409,"1,759","3,649"
238,B.W.INDUSTRIES LTD,30.03,D,136,"2,507","2,441","2,441"
239,FOWLE & CO LIMITED,31.5,B+,39,237,"3,202","3,804"
240,F & A GEORGE LIMITED,198.99,C,8,-184,"5,985","12,988"
241,CENTRAL TRUST LIMITED,0.72,D,45,"4,444",5,"40,821"
242,MARVIN'S MAGIC HOLDINGS LIMITED,129.65,B+,78,-903,14,"3,430"
243,"SAIC MOTOR UK HOLDING CO., LTD.",134.73,D,173,,"9,195","9,195"
244,WAVIN IRELAND LIMITED,9.58,D,85,"1,402","3,277","3,277"
245,JUNGHEINRICH UK LIMITED,126.01,D,808,"3,852","23,749","23,788"
246,GUHRING LIMITED,56.42,D,87,442,"9,281","9,281"
247,FLI CARLOW LIMITED,701.8,D,63,730,"1,736","3,359"
248,SENSE NETWORK LIMITED,0.31,D,36,370,33,33
249,M LARGE TREE SERVICES LIMITED,1.31,B+,55,486,939,"2,165"
250,HARTE WOODWORKING LIMITED,38.64,D,111,"1,798",621,687
251,L.C.P. ENGINEERING CO. LIMITED,28.61,D,112,240,"3,286","4,574"
252,GENTHERM U.K. LTD.,133.67,D,4,21,4,4
253,NITTO DENKO UK LTD.,17.81,D,138,"1,091","2,002","2,002"
254,WATTS INDUSTRIES UK LIMITED,372.64,D,38,-658,91,"4,124"
255,MONSPORT LIMITED,2.47,B+,29,192,121,436
256,RAWLPLUG LIMITED,22.88,D,43,506,"1,762","1,971"
257,EXPROMET TECHNOLOGIES GROUP LIMITED,403.6,B+,124,"1,244","1,965","5,980"
258,PAPERGRAPHICS LIMITED,181.92,D,83,188,896,"2,802"
259,WILLIAMS GRAND PRIX ENGINEERING LIMITED,42.05,D,635,"4,053","37,321","59,285"
260,SAPIENZA CONSULTING LIMITED,722.81,D,101,251,61,61
261,XERETEC GROUP LIMITED,558.69,D,262,"3,828","2,371","6,945"
262,MAKEWAY LIMITED,24.7,D,15,-520,"1,080","1,080"
263,MIKI TRAVEL LIMITED,47.26,D,412,"3,033","1,325","1,767"
264,GOODRICH CONTROL SYSTEMS,28.41,D,587,"11,611","34,982","148,996"
265,NORTHPOINT LIMITED,51.25,D,84,292,756,756
266,U.S. DIRECT E-COMMERCE LIMITED,262.85,D,167,"1,397","1,140","18,267"
267,PUBLIC SEWER SERVICES LIMITED,11.67,B+,99,"2,091","1,761","1,761"
268,GARLOCK (GREAT BRITAIN) LIMITED,449.73,D,18,"-5,666",38,"2,778"
269,BLUE RUBICON (HOLDINGS) LIMITED,83.04,D,19,444,39,39
270,BELDEN UK LIMITED,134.66,D,42,"1,995",31,"2,424"
271,ALTAIR ENGINEERING LIMITED,44.54,D,58,"1,591",521,"1,600"
272,PRIMESIGHT AIRPORTS LIMITED,n.a.,D,n.a.,n.a.,n.a.,n.a.
273,MARBANK CONSTRUCTION LIMITED,8.75,D,30,"1,559",155,155
274,BURNSIDE AUTOCYL (TULLOW) LIMITED,1.05,A+,248,700,"8,135","8,260"
275,CALEDONIAN PLYWOOD COMPANY LTD.,327.18,D,70,"2,022",611,"3,401"
276,ELSOMS (SPALDING) LIMITED,2.06,A+,5,"2,098","5,721","5,985"
277,ORION HEALTH LIMITED,304.95,D,93,248,634,"1,215"
278,JOSEPH AND JESSE SIDDONS LIMITED,6.66,A+,86,"1,113","3,116","9,916"
279,JELSON LIMITED,49.53,D,329,"15,563",71,"81,647"
280,USP STEELS LIMITED,278.93,D,22,623,38,38
281,ENSCO 969 LIMITED,181.28,B+,135,-145,534,"5,377"
282,SUGARFAYRE LTD.,1.79,D,101,"1,656","4,668","4,668"
283,VERINT SYSTEMS UK LIMITED,79.43,D,440,"7,223","1,872","21,710"
284,PHOENIX LEARNING AND CARE LIMITED,12.74,D,161,572,"2,839","2,839"
285,CORDWALLIS COMMERCIALS (MAIDENHEAD) LIMITED,92.76,B+,154,341,"4,098","4,098"
286,LUXINAR LIMITED,4.22,D,146,"9,559","6,920","6,920"
287,BRIARWOOD PRODUCTS LIMITED,27.73,A+,23,"1,783","8,643","8,643"
288,2 AGRICULTURE LIMITED,27.22,D,268,"2,676","26,530","26,530"
289,WAIN HOMES (NORTH WEST) LIMITED,74.26,C,137,"22,494","2,975","2,975"
290,FINLAY BEVERAGES LIMITED,975.36,D,230,940,"7,723","7,723"
291,MOUNTAIN WAREHOUSE LIMITED,24.39,D,"1,571","20,810","24,626","26,524"
292,GALLEON CARE HOMES LIMITED,7.85,D,90,"1,379","4,740","4,740"
293,TRANSPORTATION INFRASTRUCTURE GROUP LIMITED,24.46,D,92,-21,464,"1,044"
294,DRANSFIELD PROPERTIES INVESTMENTS LIMITED,168.02,D,23,"3,084",411,"118,344"
295,OSL CUTTING TECHNOLOGIES LIMITED,30.47,D,74,927,557,569
296,POWERMECH SERVICES LIMITED,120.77,D,25,11,37,37
297,FUZE EUROPE (UK) LIMITED,376.01,D,74,-280,374,374
298,BALLYCLARE LIMITED,6.6,D,72,-280,"4,972","6,816"
299,WESTBASE GROUP LIMITED,9.68,D,48,"1,233",837,907
300,SPECIALIST CEILING SERVICES HOLDINGS LIMITED,13.98,D,51,"2,148",94,125
301,KILWAUGHTER MINERALS LIMITED,0.92,D,146,"7,681","12,298","16,051"
302,UK POWER SOLUTIONS LIMITED,3.52,D,208,"1,664",859,859
303,STOR-A-FILE GROUP LIMITED,17.86,D,72,711,"1,714","2,799"
304,COREIX LTD,57.7,D,19,361,"1,979","2,163"
305,JAYLOW SUPPLIES LIMITED,124.41,B+,55,391,55,"1,030"
306,BURNBANK SYSTEMS LIMITED,0.63,D,27,"1,241",487,489
307,BUDGET ENERGY HOLDINGS LIMITED,4.59,D,68,"-1,831",126,644
